Year,Leading Cause,Sex,Race Ethnicity,Deaths
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,White Non-Hispanic,418
2019,Chronic Lower Respiratory Diseases (J40-J47),Male,White Non-Hispanic,373
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,White Non-Hispanic,342
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,White Non-Hispanic,272
2019,Cerebrovascular Disease (Stroke: I60-I69),Male,White Non-Hispanic,266
2019,Diabetes Mellitus (E10-E14),Male,White Non-Hispanic,248
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,White Non-Hispanic,194
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Male,White Non-Hispanic,181
2019,All Other Causes,Male,White Non-Hispanic,2366
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Black Non-Hispanic,2315
2019,Malignant Neoplasms (Cancer: C00-C97),Male,Black Non-Hispanic,1421
2019,Diabetes Mellitus (E10-E14),Male,Black Non-Hispanic,377
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Black Non-Hispanic,294
2019,Cerebrovascular Disease (Stroke: I60-I69),Male,Black Non-Hispanic,228
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,Black Non-Hispanic,211
2019,Chronic Lower Respiratory Diseases (J40-J47),Male,Black Non-Hispanic,210
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Black Non-Hispanic,185
2019,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Male,Black Non-Hispanic,156
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Black Non-Hispanic,150
2019,All Other Causes,Male,Black Non-Hispanic,1507
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,66
2019,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,32
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Other Race/ Ethnicity,9
2019,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,9
2019,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,8
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Other Race/ Ethnicity,5
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,5
2019,Chronic Lower Respiratory Diseases (J40-J47),Male,Other Race/ Ethnicity,4
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,4
2019,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Other Race/ Ethnicity,4
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,4
2019,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Other Race/ Ethnicity,4
2019,All Other Causes,Male,Other Race/ Ethnicity,27
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,19
2019,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,15
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,Other Race/ Ethnicity,6
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Other Race/ Ethnicity,5
2019,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,3
2019,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Male,Other Race/ Ethnicity,3
2019,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Male,Other Race/ Ethnicity,2
2019,Aortic Aneurysm and Dissection (I71),Male,Other Race/ Ethnicity,2
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Male,Other Race/ Ethnicity,2
2019,Viral Hepatitis (B15-B19),Male,Other Race/ Ethnicity,1
2019,Septicemia (A40-A41),Male,Other Race/ Ethnicity,1
2019,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Other Race/ Ethnicity,1
2019,"Complications of Medical and Surgical Care (Y40-Y84, Y88)",Male,Other Race/ Ethnicity,1
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Other Race/ Ethnicity,1
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,1
2019,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,1
2019,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Other Race/ Ethnicity,1
2019,Alzheimer's Disease (G30),Male,Other Race/ Ethnicity,1
2019,Cholelithiasis and Disorders of Gallbladder (K80-K82),Male,Other Race/ Ethnicity,1
2019,All Other Causes,Male,Other Race/ Ethnicity,10
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,193
2019,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,75
2019,Diabetes Mellitus (E10-E14),Male,Not Stated/Unknown,34
2019,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,22
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,17
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Not Stated/Unknown,15
2019,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,14
2019,Mental and Behavioral Disorders due to Use of Alcohol (F10),Male,Not Stated/Unknown,14
2019,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Not Stated/Unknown,14
2019,"Chronic Liver Disease and Cirrhosis (K70, K73-K74)",Male,Not Stated/Unknown,14
2019,All Other Causes,Male,Not Stated/Unknown,125
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Hispanic,1574
2019,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,1182
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Hispanic,249
2019,Alzheimer's Disease (G30),Female,Hispanic,231
2019,Diabetes Mellitus (E10-E14),Female,Hispanic,214
2019,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,178
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,156
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Hispanic,151
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,104
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,98
2019,All Other Causes,Female,Hispanic,1279
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,623
2019,Malignant Neoplasms (Cancer: C00-C97),Female,Asian and Pacific Islander,582
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Asian and Pacific Islander,110
2019,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,78
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,Asian and Pacific Islander,67
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Asian and Pacific Islander,66
2019,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,50
2019,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,40
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Female,Asian and Pacific Islander,40
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Asian and Pacific Islander,40
2019,All Other Causes,Female,Asian and Pacific Islander,401
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,White Non-Hispanic,4001
2019,Malignant Neoplasms (Cancer: C00-C97),Female,White Non-Hispanic,2655
2019,Chronic Lower Respiratory Diseases (J40-J47),Female,White Non-Hispanic,480
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,White Non-Hispanic,390
2019,Alzheimer's Disease (G30),Female,White Non-Hispanic,341
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,White Non-Hispanic,308
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,White Non-Hispanic,228
2019,Diabetes Mellitus (E10-E14),Female,White Non-Hispanic,197
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,White Non-Hispanic,167
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,White Non-Hispanic,125
2019,All Other Causes,Female,White Non-Hispanic,2264
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Black Non-Hispanic,2483
2019,Malignant Neoplasms (Cancer: C00-C97),Female,Black Non-Hispanic,1753
2019,Diabetes Mellitus (E10-E14),Female,Black Non-Hispanic,383
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Black Non-Hispanic,316
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Black Non-Hispanic,290
2019,Chronic Lower Respiratory Diseases (J40-J47),Female,Black Non-Hispanic,242
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,Black Non-Hispanic,227
2019,Alzheimer's Disease (G30),Female,Black Non-Hispanic,171
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Black Non-Hispanic,120
2019,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Black Non-Hispanic,96
2019,All Other Causes,Female,Black Non-Hispanic,1578
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,39
2019,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,35
2019,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,14
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,9
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Other Race/ Ethnicity,5
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Other Race/ Ethnicity,3
2019,"Assault (Homicide: U01-U02, Y87.1, X85-Y09)",Female,Other Race/ Ethnicity,3
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,3
2019,Alzheimer's Disease (G30),Female,Other Race/ Ethnicity,3
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,2
2019,"Complications of Medical and Surgical Care (Y40-Y84, Y88)",Female,Other Race/ Ethnicity,2
2019,Septicemia (A40-A41),Female,Other Race/ Ethnicity,2
2019,Insitu or Benign / Uncertain Neoplasms (D00-D48),Female,Other Race/ Ethnicity,2
2019,All Other Causes,Female,Other Race/ Ethnicity,28
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,30
2019,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,17
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,5
2019,Alzheimer's Disease (G30),Female,Other Race/ Ethnicity,3
2019,Chronic Lower Respiratory Diseases (J40-J47),Female,Other Race/ Ethnicity,2
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,2
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Other Race/ Ethnicity,2
2019,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Other Race/ Ethnicity,2
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Other Race/ Ethnicity,1
2019,Mental and Behavioral Disorders due to Use of Alcohol (F10),Female,Other Race/ Ethnicity,1
2019,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,1
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Female,Other Race/ Ethnicity,1
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Other Race/ Ethnicity,1
2019,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",Female,Other Race/ Ethnicity,1
2019,Septicemia (A40-A41),Female,Other Race/ Ethnicity,1
2019,Anemias (D50-D64),Female,Other Race/ Ethnicity,1
2019,Cholelithiasis and Disorders of Gallbladder (K80-K82),Female,Other Race/ Ethnicity,1
2019,Parkinson's Disease (G20),Female,Other Race/ Ethnicity,1
2019,Peptic Ulcer (K25-K28),Female,Other Race/ Ethnicity,1
2019,All Other Causes,Female,Other Race/ Ethnicity,17
2019,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Not Stated/Unknown,110
2019,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,61
2019,Diabetes Mellitus (E10-E14),Female,Not Stated/Unknown,15
2019,Chronic Lower Respiratory Diseases (J40-J47),Female,Not Stated/Unknown,12
2019,Cerebrovascular Disease (Stroke: I60-I69),Female,Not Stated/Unknown,11
2019,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,10
2019,"Accidents Except Drug Poisoning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Not Stated/Unknown,9
2019,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,8
2019,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,7
2019,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Not Stated/Unknown,5
2019,"Intentional Self-Harm (Suicide: U03, X60-X84, Y87.0)",Female,Not Stated/Unknown,5
2019,All Other Causes,Female,Not Stated/Unknown,64
2014,All Other Causes,Male,Asian and Pacific Islander,424
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Other Race/ Ethnicity,0
2013,Influenza (Flu) and Pneumonia (J09-J18),Female,Hispanic,204
2012,"Assault (Homicide: Y87.1, X85-Y09)",Male,Other Race/ Ethnicity,0
2007,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Not Stated/Unknown,5
2014,Cerebrovascular Disease (Stroke: I60-I69),Female,White Non-Hispanic,418
2009,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Asian and Pacific Islander,26
2013,Influenza (Flu) and Pneumonia (J09-J18),Male,White Non-Hispanic,618
2007,"Assault (Homicide: Y87.1, X85-Y09)",Male,Black Non-Hispanic,267
2013,All Other Causes,Male,Not Stated/Unknown,139
2008,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,124
2007,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Black Non-Hispanic,166
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,5
2012,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Asian and Pacific Islander,56
2011,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Male,Not Stated/Unknown,0
2012,Chronic Lower Respiratory Diseases (J40-J47),Male,Hispanic,132
2013,All Other Causes,Male,Asian and Pacific Islander,395
2012,Diabetes Mellitus (E10-E14),Male,White Non-Hispanic,292
2013,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Black Non-Hispanic,240
2011,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Black Non-Hispanic,1840
2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Other Race/ Ethnicity,39
2014,Alzheimer's Disease (G30),Female,Hispanic,142
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Black Non-Hispanic,134
2008,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Other Race/ Ethnicity,0
2011,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,33
2010,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Black Non-Hispanic,252
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1354
2013,Viral Hepatitis (B15-B19),Female,Asian and Pacific Islander,15
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Not Stated/Unknown,8
2012,Malignant Neoplasms (Cancer: C00-C97),Male,Black Non-Hispanic,1563
2007,All Other Causes,Female,White Non-Hispanic,1680
2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Black Non-Hispanic,248
2014,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,165
2007,All Other Causes,Male,Other Race/ Ethnicity,24
2011,All Other Causes,Male,Not Stated/Unknown,38
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Not Stated/Unknown,9
2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,68
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Not Stated/Unknown,0
2011,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,0
2012,Malignant Neoplasms (Cancer: C00-C97),Female,Other Race/ Ethnicity,29
2013,All Other Causes,Male,Other Race/ Ethnicity,42
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,48
2011,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Hispanic,56
2011,All Other Causes,Female,Other Race/ Ethnicity,38
2011,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Male,White Non-Hispanic,272
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Not Stated/Unknown,94
2009,Septicemia (A40-A41),Female,Not Stated/Unknown,0
2013,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,60
2010,All Other Causes,Female,Not Stated/Unknown,18
2008,Malignant Neoplasms (Cancer: C00-C97),Male,Not Stated/Unknown,60
2012,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Asian and Pacific Islander,20
2011,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,73
2009,Chronic Lower Respiratory Diseases (J40-J47),Female,Asian and Pacific Islander,30
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,White Non-Hispanic,4495
2014,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,12
2013,Influenza (Flu) and Pneumonia (J09-J18),Female,White Non-Hispanic,622
2007,Malignant Neoplasms (Cancer: C00-C97),Female,Hispanic,969
2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Asian and Pacific Islander,13
2009,Cerebrovascular Disease (Stroke: I60-I69),Male,White Non-Hispanic,227
2009,Alzheimer's Disease (G30),Female,Asian and Pacific Islander,14
2007,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,51
2013,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Not Stated/Unknown,6
2007,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,0
2010,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Other Race/ Ethnicity,50
2009,Certain Conditions originating in the Perinatal Period (P00-P96),Male,Other Race/ Ethnicity,0
2011,Influenza (Flu) and Pneumonia (J09-J18),Female,Other Race/ Ethnicity,6
2008,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,473
2012,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Asian and Pacific Islander,39
2010,Septicemia (A40-A41),Female,Not Stated/Unknown,0
2010,All Other Causes,Male,White Non-Hispanic,2034
2012,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Not Stated/Unknown,7
2010,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",Female,Other Race/ Ethnicity,5
2008,All Other Causes,Male,Hispanic,1069
2009,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Not Stated/Unknown,0
2010,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Not Stated/Unknown,0
2009,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,White Non-Hispanic,5168
2012,Diabetes Mellitus (E10-E14),Male,Other Race/ Ethnicity,8
2013,Chronic Lower Respiratory Diseases (J40-J47),Male,Not Stated/Unknown,15
2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,7
2007,Diabetes Mellitus (E10-E14),Male,White Non-Hispanic,237
2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Female,Hispanic,71
2007,All Other Causes,Female,Asian and Pacific Islander,182
2011,Diabetes Mellitus (E10-E14),Male,Black Non-Hispanic,307
2014,Influenza (Flu) and Pneumonia (J09-J18),Male,Not Stated/Unknown,14
2010,Certain Conditions originating in the Perinatal Period (P00-P96),Female,Not Stated/Unknown,5
2010,Septicemia (A40-A41),Female,White Non-Hispanic,107
2007,Malignant Neoplasms (Cancer: C00-C97),Male,Hispanic,1013
2007,Chronic Lower Respiratory Diseases (J40-J47),Male,Black Non-Hispanic,137
2011,Cerebrovascular Disease (Stroke: I60-I69),Female,Black Non-Hispanic,281
2009,"Essential Hypertension and Renal Diseases (I10, I12)",Female,Hispanic,84
2014,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Black Non-Hispanic,2194
2010,Alzheimer's Disease (G30),Female,Black Non-Hispanic,88
2008,Malignant Neoplasms (Cancer: C00-C97),Male,Other Race/ Ethnicity,33
2013,Chronic Lower Respiratory Diseases (J40-J47),Female,Black Non-Hispanic,258
2013,"Chronic Liver Disease and Cirrhosis (K70, K73)",Male,Asian and Pacific Islander,29
2014,Diabetes Mellitus (E10-E14),Male,Asian and Pacific Islander,71
2010,Diabetes Mellitus (E10-E14),Female,Other Race/ Ethnicity,7
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Female,Black Non-Hispanic,87
2009,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Male,Other Race/ Ethnicity,0
2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Male,Hispanic,1327
2011,Malignant Neoplasms (Cancer: C00-C97),Female,Black Non-Hispanic,1918
2011,"Assault (Homicide: Y87.1, X85-Y09)",Male,Other Race/ Ethnicity,0
2011,Influenza (Flu) and Pneumonia (J09-J18),Female,Not Stated/Unknown,8
2008,Malignant Neoplasms (Cancer: C00-C97),Female,Not Stated/Unknown,36
2009,Alzheimer's Disease (G30),Female,Not Stated/Unknown,0
2009,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",Male,Other Race/ Ethnicity,0
2013,Malignant Neoplasms (Cancer: C00-C97),Male,Asian and Pacific Islander,633
2014,Human Immunodeficiency Virus Disease (HIV: B20-B24),Male,Other Race/ Ethnicity,10
2012,Diabetes Mellitus (E10-E14),Female,Asian and Pacific Islander,57
2013,Chronic Lower Respiratory Diseases (J40-J47),Female,Hispanic,168
2011,Alzheimer's Disease (G30),Female,Not Stated/Unknown,0
2011,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",Female,Black Non-Hispanic,83
2010,Cerebrovascular Disease (Stroke: I60-I69),Male,White Non-Hispanic,276
2012,Human Immunodeficiency Virus Disease (HIV: B20-B24),Female,Black Non-Hispanic,136
2010,Diabetes Mellitus (E10-E14),Male,Black Non-Hispanic,279
2010,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,108
2012,Malignant Neoplasms (Cancer: C00-C97),Male,White Non-Hispanic,3184
2013,Cerebrovascular Disease (Stroke: I60-I69),Female,Black Non-Hispanic,271
2013,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Asian and Pacific Islander,437
2011,Cerebrovascular Disease (Stroke: I60-I69),Male,Hispanic,147
2010,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Asian and Pacific Islander,30
2010,Chronic Lower Respiratory Diseases (J40-J47),Male,Asian and Pacific Islander,61
2009,"Essential Hypertension and Renal Diseases (I10, I12)",Male,Other Race/ Ethnicity,0
2009,Cerebrovascular Disease (Stroke: I60-I69),Female,Other Race/ Ethnicity,0
2013,All Other Causes,Male,Hispanic,1193
2014,All Other Causes,Male,Black Non-Hispanic,1375
2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",Male,Black Non-Hispanic,163
2013,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,102
2011,Influenza (Flu) and Pneumonia (J09-J18),Male,Asian and Pacific Islander,94
2011,Diabetes Mellitus (E10-E14),Female,Black Non-Hispanic,410
2010,Diabetes Mellitus (E10-E14),Female,Hispanic,219
2012,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",Female,Black Non-Hispanic,2269
2009,Cerebrovascular Disease (Stroke: I60-I69),Male,Other Race/ Ethnicity,0
2014,All Other Causes,Male,Hispanic,1195
